,SrvName,N,tpm,avg_pm,cnt,cntInst,tpmGb,avgGb,ord,SrvNameInst
0,PPOPOC_ACC,2,57826.9230769,7845.72586846,164809,82404.5,56.4716045673,7.66184166842,17,PPOPOC_ACC (2) 
1,PPO,2,56336.7088608,19168.590515,1435230,717615.0,55.0163172468,18.7193266748,17,PPO (2) 
2,VenSSorteerWorkerPROD,10,26012.195122,3488.02776757,2002772,200277.2,25.4025342988,3.40627711676,14,VenSSorteerWorkerPROD (10) 
3,VenSAdresCheckPROD,2,21596.875,5946.89414353,954946,477473.0,21.0906982422,5.80751381204,13,VenSAdresCheckPROD (2) 
4,NRSPSBMenuPROD,1,14314.7058824,3664.73610267,21129,21129.0,13.9792049632,3.57884385026,11,NRSPSBMenuPROD (1) 
5,NRSPromotionServicesPROD,1,14311.7362132,3665.05708328,21135,21135.0,13.9763048957,3.57915730789,11,NRSPromotionServicesPROD (1) 
6,NRSKleineVispasPROD,1,14311.7362132,3664.92352555,21133,21133.0,13.9763048957,3.57902688042,11,NRSKleineVispasPROD (1) 
7,NRSStornerenPROD,1,14311.7362132,3665.01486961,21138,21138.0,13.9763048957,3.5791160836,11,NRSStornerenPROD (1) 
8,NRSPSBMenuBeheerPROD,1,14311.7362132,3573.29645091,79611,79611.0,13.9763048957,3.48954731535,11,NRSPSBMenuBeheerPROD (1) 
9,NRSPromotionServicesBeheerPROD,1,14308.8235294,3573.23353135,79642,79642.0,13.9734604779,3.48948587045,11,NRSPromotionServicesBeheerPROD (1) 
10,NRSRDWKentekenPROD,1,14308.8235294,3664.55467991,21123,21123.0,13.9734604779,3.5786666796,11,NRSRDWKentekenPROD (1) 
11,NRSPassenUitreikenPROD,1,14308.8235294,3664.89911674,21131,21131.0,13.9734604779,3.57900304369,11,NRSPassenUitreikenPROD (1) 
12,NRSRDWMotorbotenPROD,1,14305.8520221,3665.03223895,21144,21144.0,13.9705586153,3.57913304585,11,NRSRDWMotorbotenPROD (1) 
13,HAHDrukwerkserviceWebApp,1,14253.3010417,2460.19934048,701815,701815.0,13.9192392985,2.40253841844,11,HAHDrukwerkserviceWebApp (1) 
14,PVAPI,2,14138.3838384,2902.76969579,614315,307157.5,13.8070154672,2.83473603105,11,PVAPI (2) 
15,PAK,3,14127.0833333,4793.76816726,1896241,632080.333333,13.7959798177,4.68141422584,11,PAK (3) 
16,HAHPubliek,1,14072.7272727,2560.86742477,716172,716172.0,13.7428977273,2.50084709451,11,HAHPubliek (1) 
17,NRSStatischeAppsPROD,2,14066.6410256,3687.21965157,1018422,509211.0,13.7369541266,3.60080044099,11,NRSStatischeAppsPROD (2) 
18,HAHBeheer,1,14058.8039216,1914.66753897,717665,717665.0,13.7293007047,1.86979251853,11,HAHBeheer (1) 
19,AGT,3,14021.2121212,5111.06399318,1893337,631112.333333,13.6925899621,4.99127343084,11,AGT (3) 
20,VenSLippFEPROD,2,7539.58333333,3852.00452779,954448,477224.0,7.36287434896,3.76172317167,8,VenSLippFEPROD (2) 
21,NRSBatchControllerPROD,1,7154.73809524,2163.56781353,21182,21182.0,6.98704892113,2.1128591929,8,NRSBatchControllerPROD (1) 
22,NRSTCSControllerPROD,1,7152.38095238,2163.03545705,21170,21170.0,6.98474702381,2.11233931352,8,NRSTCSControllerPROD (1) 
23,NRSSSCControllerPROD,1,7150.0,2163.24977441,21168,21168.0,6.982421875,2.11254860782,8,NRSSSCControllerPROD (1) 
24,NRSFashionChequeControllerPROD,1,7150.0,2163.38034709,21177,21177.0,6.982421875,2.11267612021,8,NRSFashionChequeControllerPROD (1) 
25,NRSIntersolveControllerPROD,1,7150.0,2163.44643156,21176,21176.0,6.982421875,2.11274065582,8,NRSIntersolveControllerPROD (1) 
26,NRSWebservicesPROD,2,7128.88888889,1973.96051374,959507,479753.5,6.96180555556,1.92769581419,8,NRSWebservicesPROD (2) 
27,NRSBeltegoedPROD,1,7122.22222222,2044.0022604,21032,21032.0,6.95529513889,1.99609595742,8,NRSBeltegoedPROD (1) 
28,NRSGiftcardsPROD,1,7122.22222222,2044.12686748,21031,21031.0,6.95529513889,1.99621764402,8,NRSGiftcardsPROD (1) 
29,VenSLippServicePROD,4,7081.63265306,1807.98991835,1911703,477925.75,6.91565688776,1.76561515464,8,VenSLippServicePROD (4) 
30,OBV,2,7068.59302326,4353.82455824,1433966,716983.0,6.90292287427,4.25178179516,8,OBV (2) 
31,MGMGPROD,2,7064.7962963,2600.79013961,1003767,501883.5,6.8992151331,2.53983412071,8,MGMGPROD (2) 
32,AVA_Beheer,2,7039.7260274,2143.1961746,1419815,709907.5,6.87473244863,2.09296501426,8,AVA_Beheer (2) 
33,NoodscenarioPROD,2,7030.60204082,3418.62521721,394686,197343.0,6.86582230548,3.33850118868,8,NoodscenarioPROD (2) 
34,SelfService,2,7029.26829268,2933.75135582,1419347,709673.5,6.86451981707,2.86499155841,8,SelfService (2) 
35,Facturen,2,7020.83333333,4360.8643242,1434255,717127.5,6.85628255208,4.2586565666,8,Facturen (2) 
36,ManagementInformatieService,1,7019.98947368,1089.30804831,717625,717625.0,6.85545847039,1.06377739093,8,ManagementInformatieService (1) 
37,Rapportage,2,7012.06896552,2685.42968504,1433823,716911.5,6.84772359914,2.6224899268,8,Rapportage (2) 
38,NRSDynamischeAppsPROD,2,7002.43902439,1976.7730112,959527,479763.5,6.83831935976,1.93044239375,8,NRSDynamischeAppsPROD (2) 
39,PUBLIEK,2,6203.05102041,2038.82472878,1430812,715406.0,6.05766701212,1.9910397742,7,PUBLIEK (2) 
40,B2B,2,6059.56382979,2170.60439632,1435345,717672.5,5.91754280253,2.11973085579,7,B2B (2) 
41,PUMA,2,4373.11827957,2123.46789631,1428823,714411.5,4.27062331989,2.07369911749,6,PUMA (2) 
42,TrackCheckVoormeldWorker,2,3574.39534884,1206.26068258,728997,364498.5,3.49062045785,1.17798894783,5,TrackCheckVoormeldWorker (2) 
43,AVA_InboundFiles,2,3543.56410256,1090.62987919,1083464,541732.0,3.46051181891,1.0650682414,5,AVA_InboundFiles (2) 
44,BARCODEBOEKSERVICE,2,3541.07142857,1055.07077061,1435262,717631.0,3.45807756696,1.03034254942,5,BARCODEBOEKSERVICE (2) 
45,AVAVerbruiksWS,2,3538.80597015,1458.90643346,1405221,702610.5,3.45586520522,1.42471331393,5,AVAVerbruiksWS (2) 
