,SrvName,N,tpm,avg_pm,cnt,cntInst,tpmGb,avgGb,ord,SrvNameInst
0,PPOPOC_ACC,2,57826.9230769,7845.72586846,164809,82404.5,56.4716045673,7.66184166842,17,PPOPOC_ACC (2) 
1,PPO,2,56336.7088608,19168.590515,1435230,717615.0,55.0163172468,18.7193266748,17,PPO (2) 
2,VenSSorteerWorkerPROD,10,26012.195122,3488.02776757,2002772,200277.2,25.4025342988,3.40627711676,14,VenSSorteerWorkerPROD (10) 
3,VenSAdresCheckPROD,2,21596.875,5946.89414353,954946,477473.0,21.0906982422,5.80751381204,13,VenSAdresCheckPROD (2) 
4,NRSPSBMenuPROD,1,14314.7058824,3664.73610267,21129,21129.0,13.9792049632,3.57884385026,11,NRSPSBMenuPROD (1) 
5,NRSPromotionServicesPROD,1,14311.7362132,3665.05708328,21135,21135.0,13.9763048957,3.57915730789,11,NRSPromotionServicesPROD (1) 
6,NRSKleineVispasPROD,1,14311.7362132,3664.92352555,21133,21133.0,13.9763048957,3.57902688042,11,NRSKleineVispasPROD (1) 
7,NRSStornerenPROD,1,14311.7362132,3665.01486961,21138,21138.0,13.9763048957,3.5791160836,11,NRSStornerenPROD (1) 
8,NRSPSBMenuBeheerPROD,1,14311.7362132,3573.29645091,79611,79611.0,13.9763048957,3.48954731535,11,NRSPSBMenuBeheerPROD (1) 
9,NRSPromotionServicesBeheerPROD,1,14308.8235294,3573.23353135,79642,79642.0,13.9734604779,3.48948587045,11,NRSPromotionServicesBeheerPROD (1) 
10,NRSRDWKentekenPROD,1,14308.8235294,3664.55467991,21123,21123.0,13.9734604779,3.5786666796,11,NRSRDWKentekenPROD (1) 
11,NRSPassenUitreikenPROD,1,14308.8235294,3664.89911674,21131,21131.0,13.9734604779,3.57900304369,11,NRSPassenUitreikenPROD (1) 
12,NRSRDWMotorbotenPROD,1,14305.8520221,3665.03223895,21144,21144.0,13.9705586153,3.57913304585,11,NRSRDWMotorbotenPROD (1) 
13,HAHDrukwerkserviceWebApp,1,14253.3010417,2460.19934048,701815,701815.0,13.9192392985,2.40253841844,11,HAHDrukwerkserviceWebApp (1) 
14,PVAPI,2,14138.3838384,2902.76969579,614315,307157.5,13.8070154672,2.83473603105,11,PVAPI (2) 
15,PAK,3,14127.0833333,4793.76816726,1896241,632080.333333,13.7959798177,4.68141422584,11,PAK (3) 
16,HAHPubliek,1,14072.7272727,2560.86742477,716172,716172.0,13.7428977273,2.50084709451,11,HAHPubliek (1) 
17,NRSStatischeAppsPROD,2,14066.6410256,3687.21965157,1018422,509211.0,13.7369541266,3.60080044099,11,NRSStatischeAppsPROD (2) 
18,HAHBeheer,1,14058.8039216,1914.66753897,717665,717665.0,13.7293007047,1.86979251853,11,HAHBeheer (1) 
19,AGT,3,14021.2121212,5111.06399318,1893337,631112.333333,13.6925899621,4.99127343084,11,AGT (3) 
